"","baseMean","log2FoldChange","lfcSE","pvalue","padj","gene"
"ENSG00000178802",84.7426164215869,-1.01924840555634,0.16608936077076,4.22608476802628e-10,4.18169480919863e-09,"MPI"
"ENSG00000139323",69.9913990888705,1.46567422680935,0.242486176383147,4.3473326308488e-10,4.29962556017298e-09,"POC1B"
"ENSG00000174804",84.793345889176,-1.57503266827637,0.263424506318708,4.53550714677758e-10,4.48360509443316e-09,"FZD4"
"ENSG00000153551",60.063392482616,-1.4200498170645,0.235076673802111,4.58111870904347e-10,4.52647248348538e-09,"CMTM7"
"ENSG00000205482",14.1491188811608,5.18002750742142,0.873002548035937,4.58321917248051e-10,4.52647248348538e-09,"SPDYE18"
"ENSG00000151500",40.210839884728,-1.63553615991124,0.272074392126588,4.58941789665752e-10,4.53044529115755e-09,"THYN1"
"ENSG00000205189",230.6853247151,0.861711097356128,0.14031478959147,4.61627513933775e-10,4.55264008175616e-09,"ZBTB10"
"ENSG00000149231",136.523336807405,1.06740701800715,0.17471015062221,4.61467737815427e-10,4.55264008175616e-09,"CCDC82"
"ENSG00000164109",31.7596383201298,-1.88808781845755,0.315112707908316,4.63515863304858e-10,4.56909884381811e-09,"MAD2L1"
"ENSG00000197818",216.41787706001,1.08106511047991,0.177192099820617,4.65261819947149e-10,4.58413905796484e-09,"SLC9A8"
"ENSG00000103550",80.2142258442265,-1.41966363334569,0.234610654949152,4.66108442961313e-10,4.59030826585221e-09,"KNOP1"
"ENSG00000277969",16.1829308102658,2.76924735800578,0.469380628858581,4.71508004153918e-10,4.64128848155102e-09,NA
"ENSG00000123200",583.914374984307,0.471043483035764,0.0759583458683944,4.767997077479e-10,4.69115931739298e-09,"ZC3H13"
"ENSG00000170677",119.001044259379,0.982347173078162,0.160752882524424,4.7928319490896e-10,4.7133664784174e-09,"SOCS6"
"ENSG00000188312",39.9073919900805,-2.29397676735825,0.389416671668286,4.82039029001582e-10,4.73822971897259e-09,"CENPP"
"ENSG00000164815",27.2273621981767,-2.01575109909508,0.336983189881062,4.85430341018122e-10,4.76931301069197e-09,"ORC5"
"ENSG00000010318",29.6221712935052,-1.77684140829819,0.296899434240498,5.07202203503476e-10,4.98086918619758e-09,"PHF7"
"ENSG00000129315",202.767690101839,0.836409785932929,0.136301788140298,5.08555266386941e-10,4.99180202305975e-09,"CCNT1"
"ENSG00000173812",1601.33438076772,0.651201381555871,0.105635382846686,5.21760764848899e-10,5.11900912506561e-09,"EIF1"
"ENSG00000088882",29.7378012324421,5.14924904575317,0.886821317182953,5.22763093316075e-10,5.12642715014007e-09,"CPXM1"
"ENSG00000143179",124.853939758256,-1.23353954028171,0.203547114782048,5.25704002695708e-10,5.15283975146985e-09,"UCK2"
"ENSG00000178719",1081.75757798462,0.674115769664399,0.109477641176487,5.2671797347408e-10,5.16034893635617e-09,"GRINA"
"ENSG00000158246",16.1619635875554,-5.79064322766341,1.01053853984425,5.30712190183749e-10,5.19703531864321e-09,"TENT5B"
"ENSG00000166311",802.31762169699,0.619840672698383,0.100708900221977,5.34305435963643e-10,5.22976251590366e-09,"SMPD1"
"ENSG00000164330",261.405819519024,-1.1878726588658,0.196421934475086,5.44832944338062e-10,5.33029937414197e-09,"EBF1"
"ENSG00000062716",502.156273627732,-0.842653165345436,0.137469998868207,5.50590824168182e-10,5.38410068969346e-09,"VMP1"
"ENSG00000172667",394.163817796342,-0.847068367615657,0.138355582852517,5.61583888855174e-10,5.48902111834548e-09,"ZMAT3"
"ENSG00000177370",81.871928847926,-1.08336993478652,0.178505631904277,5.65737156920028e-10,5.52702105580388e-09,"TIMM22"
